location,total_cases_per_population,total_deaths_per_population,vaccinations_per_population,boosters_per_population,positive_rate,median_age,population,gdp_per_capita,hosps_per_population,diabetes_prevalence
Luxembourg,0.0986394400255713,0.0012044453297632338,0.05847427659932582,1.544160679183633e-06,0.023,39.7,647601.0,94277.965,0.00018838760286040324,4.42
Cyprus,0.27967080614325557,0.0008359309692893024,0.7023371469196111,0.45121634094376495,0.0208,37.3,896007.0,32415.132,0.00022767679270362844,9.24
Portugal,0.3405083918508455,0.002073634167041757,0.8551905649158585,0.6121214617241775,0.23,46.2,10270857.0,27936.896,0.00010817013614345911,9.85
Australia,0.1779033525471007,0.00026526688469180105,0.8155309864497672,0.4999798299373391,0.4944,37.9,26177410.0,44648.71,0.00010765006927728908,5.07
United Kingdom,0.32925047137463404,0.002640628197724817,0.7392107024172326,0.5866558021296617,0.0326,40.8,67508936.0,39753.244,0.00010100885014689019,4.28
Canada,0.10080956297038919,0.0010727791160464436,0.8167417982183957,0.5587115967804717,0.0882,41.4,38454328.0,44017.591,9.985872071408972e-05,7.37
South Korea,0.35199767607599597,0.00047087946597300964,0.8549954484932475,0.7264338520013043,0.0656,43.4,51815808.0,35938.374,9.41797530205454e-06,6.8
Spain,0.2639088104973247,0.002280195948445279,0.8524056368988915,0.5314066224613021,0.3,45.5,47558632.0,34272.36,0.00013454970698063812,7.17
Finland,0.20372116024108672,0.0008944645530519813,0.7818235634377687,0.5899587510343826,0.284,42.8,5540745.0,40585.721,6.334888178394782e-05,5.76
Denmark,0.5354074004561853,0.0010915874326512995,0.805891580088534,0.6119232424141814,0.1631,42.3,5882259.0,46682.515,3.842061357719883e-05,6.41
Austria,0.4844456982888641,0.0022214598231669208,0.7447275425781664,0.5859240949584306,0.0546,44.4,8939617.0,45436.686,5.850362493158264e-05,6.35
Bolivia,0.07475993761183837,0.001795712965373196,0.49062533284620874,0.13388275011178724,0.0726,25.4,12224114.0,6885.829,1.3088883169774105e-05,6.89
Netherlands,0.46221525596076524,0.001271918387703954,0.6800038373903013,0.5284384782071531,0.671,43.2,17564020.0,48472.545,1.804826002247777e-05,5.29
France,0.4301280727884034,0.002148496600946721,0.7809262973176234,0.5764333387403595,0.227,42.0,67813000.0,38605.671,0.00020462153274445903,4.77
United States,0.25166313884386765,0.0029694032563601317,0.6596487539963362,0.36600798044621236,0.139,38.3,338289856.0,54225.446,7.55476392410655e-05,10.79
Estonia,0.43877972707199653,0.0019501321203199845,0.644851983011378,0.36633903039370647,0.1254,42.7,1326064.0,29481.252,4.7509019172528625e-05,4.02
Slovakia,0.31759214878119874,0.0035674954438371527,0.4566647558986472,0.12061157571026969,0.103,41.2,5643455.0,30155.152,3.543928320505789e-05,7.29
Malaysia,0.13374073640170125,0.001052854398710881,0.8027386295142915,0.4790962494905448,0.0555,29.9,33938216.0,26808.164,1.4732654185476337e-05,16.74
Belgium,0.3602445726520328,0.0027336316480470915,0.7855618126509587,0.6566145812734007,0.26,41.8,11655923.0,42658.576,8.064569403898774e-05,4.29
Ireland,0.3146217441472491,0.0015066369267791972,0.8062337102845489,0.6134873070616838,0.29,38.7,5023108.0,67335.293,9.496112765244147e-05,3.28
Switzerland,0.4239085056171458,0.0015231444621233799,0.6866223799609884,0.43355535416798474,0.407,43.1,8740471.0,57410.166,6.841736560878698e-05,5.59
Japan,0.07401220230177408,0.0002507186347817298,0.8254571684117981,0.6294337110159428,0.1483,48.2,123951696.0,39002.223,3.922495743825885e-05,5.72
Italy,0.3042022022894205,0.002842974035202591,0.8117245433544309,0.6938820652754237,0.2053,47.9,59037472.0,35220.084,8.745293158894066e-05,4.78
Slovenia,0.487200703070935,0.0036870655043793337,0.5764936365570469,0.30990313905322237,0.128,44.5,2119843.0,31400.84,2.217145326328412e-05,7.25
Czechia,0.40101505718987723,0.0038496320274747737,0.6553819853077809,0.40293120157347206,0.111,43.3,10493990.0,32605.906,1.2006872505119598e-05,6.82
Israel,0.4510159805270399,0.0011558895121176844,0.6507493914699968,0.563606307545772,0.333,30.6,9449000.0,33132.32,0.00013133664938088686,6.74
South Africa,0.06658407726571881,0.001697001316528412,0.31719993313507605,0.05675253920750907,0.0726,27.3,59893884.0,12294.876,3.095474656477446e-05,5.52
