population,total_cases,total_deaths,total_vaccinations,total_boosters,total_hospitilizations
647601,63879.0,780.0,37868.0,1.0,122.0
896007,250587.0,749.0,629299.0,404293.0,204.0
10270857,3497313.0,21298.0,8783540.0,6287012.0,1111.0
26177410,4657049.0,6944.0,21348489.0,13088177.0,2818.0
67508936,22227349.0,178266.0,49903328.0,39604509.0,6819.0
38454328,3876564.0,41253.0,31407257.0,21484879.0,3840.0
51815808,18239044.0,24399.0,44302280.0,37640757.0,488.0
47558632,12551142.0,108443.0,40539246.0,25272972.0,6399.0
5540745,1128767.0,4956.0,4331885.0,3268811.0,351.0
5882259,3149405.0,6421.0,4740463.0,3599491.0,226.0
8939617,4330759.0,19859.0,6657579.0,5237937.0,523.0
12224114,913874.0,21951.0,5997460.0,1636598.0,160.0
17564020,8118358.0,22340.0,11943601.0,9281504.0,317.0
67813000,29168275.0,145696.0,52956955.0,39089674.0,13876.0
338289856,85135087.0,1004519.0,223152482.0,123816787.0,25557.0
1326064,581850.0,2586.0,855115.0,485789.0,63.0
5643455,1792317.0,20133.0,2577167.0,680666.0,200.0
33938216,4538922.0,35732.0,27243517.0,16259672.0,500.0
11655923,4198983.0,31863.0,9156448.0,7653449.0,940.0
5023108,1580379.0,7568.0,4049799.0,3081613.0,477.0
8740471,3705160.0,13313.0,6001403.0,3789478.0,598.0
123951696,9173938.0,31077.0,102316816.0,78019376.0,4862.0
59037472,17959329.0,167842.0,47922165.0,40965043.0,5163.0
2119843,1032789.0,7816.0,1222076.0,656946.0,47.0
10493990,4208248.0,40398.0,6877572.0,4228356.0,126.0
9449000,4261650.0,10922.0,6148931.0,5325516.0,1241.0
59893884,3987979.0,101640.0,18998336.0,3399130.0,1854.0
